model,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
on_NA_lgbm-3mer_freq_5,mean_te,0,0.208546729568678,0.3740387273696614,1.2632811069488523
on_NA_lgbm-3mer_freq_5,mean_te,1,0.2374235467276036,0.36066684401524,1.3655006885528564
on_NA_lgbm-3mer_freq_5,mean_te,2,0.206358290757893,0.390821148396523,1.2650713920593262
on_NA_lgbm-3mer_freq_5,mean_te,3,0.222351388833806,0.3765001247422364,1.2622709274291992
on_NA_lgbm-3mer_freq_5,mean_te,4,0.236736365383949,0.3699341325064961,1.2664732933044434
on_NA_lgbm-3mer_freq_5,mean_te,5,0.2372267692561303,0.3579379127881347,1.2869162559509275
on_NA_lgbm-3mer_freq_5,mean_te,6,0.2263163533864534,0.3739359702330155,1.364417314529419
on_NA_lgbm-3mer_freq_5,mean_te,7,0.2373995928238654,0.3415662598070996,1.2553138732910156
on_NA_lgbm-3mer_freq_5,mean_te,8,0.2136257952322733,0.3443898467879397,1.265259027481079
on_NA_lgbm-3mer_freq_5,mean_te,9,0.2577300406612535,0.3505617293059098,1.257899522781372
on_NA_lgbm-AAF,mean_te,0,0.4426741736037926,0.263390715060001,2.336822032928467
on_NA_lgbm-AAF,mean_te,1,0.4869332174624747,0.2426591805094239,2.427173137664795
on_NA_lgbm-AAF,mean_te,2,0.4438201558233384,0.2738853602133612,2.320761442184448
on_NA_lgbm-AAF,mean_te,3,0.5009866232106936,0.2415983207730132,2.303874492645264
on_NA_lgbm-AAF,mean_te,4,0.4858980420427259,0.2491719154581295,2.2983241081237797
on_NA_lgbm-AAF,mean_te,5,0.4660551525793213,0.2505582216661616,2.309281349182129
on_NA_lgbm-AAF,mean_te,6,0.5073039388825713,0.2381293445329299,2.440807580947876
on_NA_lgbm-AAF,mean_te,7,0.4367798563032892,0.2522644836276231,2.2988626956939697
on_NA_lgbm-AAF,mean_te,8,0.4452887235708944,0.2429338733935063,2.345662832260132
on_NA_lgbm-AAF,mean_te,9,0.4856779260125639,0.242905742592439,2.3147542476654053
on_NA_lgbm-ALL_FEATURES,mean_te,0,0.5542801063470459,0.2106460457159214,471.3292939662933
on_NA_lgbm-ALL_FEATURES,mean_te,1,0.6074623827054353,0.1856539144099709,475.1702768802643
on_NA_lgbm-ALL_FEATURES,mean_te,2,0.5581192316316801,0.2175998909041237,487.3581655025482
on_NA_lgbm-ALL_FEATURES,mean_te,3,0.6126053633446491,0.1875578853108013,502.97422909736633
on_NA_lgbm-ALL_FEATURES,mean_te,4,0.6160780202630134,0.1860770487193757,485.619912147522
on_NA_lgbm-ALL_FEATURES,mean_te,5,0.5908587841938899,0.1919930418617614,500.6122841835022
on_NA_lgbm-ALL_FEATURES,mean_te,6,0.6108751339260368,0.188071422956986,462.5273745059967
on_NA_lgbm-ALL_FEATURES,mean_te,7,0.5879456722198971,0.1845578028188376,495.9986884593964
on_NA_lgbm-ALL_FEATURES,mean_te,8,0.5795208484302697,0.184147381372199,489.4409694671631
on_NA_lgbm-ALL_FEATURES,mean_te,9,0.591139071526048,0.1930982014402621,512.0722904205322
on_NA_lgbm-Biochem,mean_te,0,0.6257930108924252,0.1768492357133745,6.228916883468628
on_NA_lgbm-Biochem,mean_te,1,0.6506875579582238,0.1652102100790426,6.261221170425415
on_NA_lgbm-Biochem,mean_te,2,0.6150880413193522,0.1895461541036969,6.213256359100342
on_NA_lgbm-Biochem,mean_te,3,0.6675141587347039,0.1609736826041325,6.205928325653076
on_NA_lgbm-Biochem,mean_te,4,0.6560806502161367,0.166688809140621,6.3539769649505615
on_NA_lgbm-Biochem,mean_te,5,0.6346329843160581,0.171451621169246,6.187340021133423
on_NA_lgbm-Biochem,mean_te,6,0.6475553412324664,0.1703431835564071,6.270961046218872
on_NA_lgbm-Biochem,mean_te,7,0.6388451279089153,0.1617601009787707,6.205363988876343
on_NA_lgbm-Biochem,mean_te,8,0.6349972569319482,0.1598516812991257,6.3166823387146
on_NA_lgbm-Biochem,mean_te,9,0.6716245612961551,0.1550862461902108,6.211989164352417
on_NA_lgbm-CF,mean_te,0,0.4438948917227716,0.2628138068978157,2.34477972984314
on_NA_lgbm-CF,mean_te,1,0.4965530842115234,0.2381093849245513,2.4854512214660645
on_NA_lgbm-CF,mean_te,2,0.4451989426445074,0.273206390040085,2.367427349090576
on_NA_lgbm-CF,mean_te,3,0.5049726622703302,0.2396684720191783,2.355593204498291
on_NA_lgbm-CF,mean_te,4,0.4979782216940698,0.2433169649833955,2.357397079467773
on_NA_lgbm-CF,mean_te,5,0.4903795171995317,0.2391438039190092,2.3675849437713623
on_NA_lgbm-CF,mean_te,6,0.5200667886794668,0.231960817328523,2.45312237739563
on_NA_lgbm-CF,mean_te,7,0.4558314474806328,0.2437313374601358,2.369240522384644
on_NA_lgbm-CF,mean_te,8,0.4747762068203411,0.2300199327061481,2.349327325820923
on_NA_lgbm-CF,mean_te,9,0.4553315500059679,0.2572378301533,2.354783058166504
on_NA_lgbm-CF_3mer_freq_5,mean_te,0,0.5204960166712409,0.2266123173579527,5.769999742507935
on_NA_lgbm-CF_3mer_freq_5,mean_te,1,0.5768206122013653,0.20014619333534,5.480997323989868
on_NA_lgbm-CF_3mer_freq_5,mean_te,2,0.5402978243623493,0.2263758697544455,6.757866382598877
on_NA_lgbm-CF_3mer_freq_5,mean_te,3,0.5699646947599621,0.2082024499775489,5.462729215621948
on_NA_lgbm-CF_3mer_freq_5,mean_te,4,0.6114681949078592,0.1883113117792466,5.947984933853149
