,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,bio_source_HEK293T,0,0.4904457032753964,0.3072010425389661,17.283079624176025
1,bio_source_HEK293T,1,0.5255180309332486,0.30163444661359634,17.46269392967224
2,bio_source_HEK293T,2,0.496401059370139,0.3165756221231976,18.340038537979126
3,bio_source_HEK293T,3,0.5317015411909547,0.2833133247936365,16.608165979385376
4,bio_source_HEK293T,4,0.5495708270650105,0.2743454830114296,15.616047382354736
5,bio_source_HEK293T,5,0.5491959243805453,0.2831660885766406,15.589612483978271
6,bio_source_HEK293T,6,0.5354487580652678,0.2892079811766475,16.59478259086609
7,bio_source_HEK293T,7,0.5054972768298014,0.28293621493557347,15.111258506774902
8,bio_source_HEK293T,8,0.5376651750552089,0.26061313271838077,15.181242942810059
9,bio_source_HEK293T,9,0.5270275974072747,0.2924292584254622,18.118696451187134
10,bio_source_HEK293T,mean,0.5248471893572848,0.28914225949135314,16.590561842918397
