bio_source,0,1,2,3,4,5,6,7,8,9,mean
bio_source_108T,0.5649038573106007,0.6188794871706009,0.6231277897240806,0.6104577224913506,0.6049952374582651,0.5708278626770684,0.6012303256580347,0.6171804049889115,0.5670242845400932,0.5779125665077209,0.5956539538526726
bio_source_12T,0.3707987308173132,0.4421357842016349,0.4453749646462521,0.4718062747228253,0.467331797978171,0.4462269092318796,0.4522468692890257,0.4429546329479462,0.4293456279066732,0.4428616786920307,0.4411083270433751
bio_source_A2780,0.4700276006173481,0.5038950564095099,0.4684815134757408,0.5138975571291525,0.5304745508785702,0.5473988532036039,0.4875514807865744,0.4824134611558528,0.481462244906791,0.5143910843398845,0.4999993402903029
bio_source_A549,0.4731879327137009,0.5320752950427705,0.5091544753732609,0.5233205906587104,0.5556571448232737,0.5565931299665481,0.5196517493367707,0.5123889485702593,0.5089934631611599,0.5434965546948962,0.523451928434135
bio_source_BJ,0.4832984146741909,0.5607656125228389,0.4809440035726027,0.5345446253828396,0.5763231543265213,0.5253766144539449,0.5245674438578081,0.504804757246998,0.4662642119952364,0.5338130864105537,0.5190701924443534
bio_source_BRx-142,0.3789116119360469,0.3793112921841491,0.3862607772035663,0.3745219704707845,0.4163185048946513,0.3387712758689123,0.4049987561572613,0.3640311271610358,0.3867439834995057,0.3548200663609353,0.3784689365736848
bio_source_C643,-1.2208690595053209,-1.524737272436144,-1.1610267823302838,-1.3623286649507191,-1.2812201766099358,-1.446899482504723,-1.471480447238418,-1.1996779005236062,-1.1705483107373484,-1.3171600797666705,-1.315594817660317
bio_source_CRL-1634,0.5851812191241323,0.6544402879362168,0.6418978959194244,0.6647330696888685,0.6451190586150848,0.6302325413151746,0.6498912354508747,0.6282711010002091,0.6293976479256428,0.6357858300956414,0.636494988707127
bio_source_Calu-3,0.5342543894666616,0.60409174392002,0.5885708249101206,0.571770047083369,0.5910202589855864,0.5710654117654572,0.5773383584947964,0.5788050058172663,0.5443374708655275,0.5749926728007893,0.5736246184109595
bio_source_Cybrid Cells,0.4469152490456803,0.5176189803197688,0.4833865163131705,0.5253173512754636,0.511919254056262,0.4860041207497769,0.5107260388746689,0.4642145911910375,0.4766528326519487,0.4812860591927941,0.4904040993670572
bio_source_H1-hESC,0.5610300045368108,0.5687796089935553,0.5609199999190158,0.5818392075505621,0.5930629377453999,0.5945706342194125,0.5895249343069939,0.5532421695441355,0.5576719837689212,0.5677445354653288,0.5728386016050135
bio_source_H1933,0.4752549782945571,0.5443962941597095,0.4724392354130161,0.5437915962163651,0.5533120517340158,0.5076092370209913,0.4860702963800116,0.4785821000808506,0.4434874431953363,0.4864625798507195,0.4991405812345573
bio_source_H9-hESC,0.5498937641073132,0.5938074447369337,0.5383289617830304,0.5762359447389385,0.5957198169690573,0.5681364287316517,0.5802323905815296,0.5404745020397057,0.5297823927065723,0.582998140674241,0.5655609787068973
bio_source_HAP-1,0.522677314087467,0.5240928771757207,0.4753228221737565,0.5106181234223414,0.553666481377353,0.5083819354474106,0.5262266507134841,0.5112760705706605,0.4843539194082031,0.5052450353648545,0.5121861229741251
bio_source_HCC tumor,0.5252573487832022,0.5506548776595008,0.5020801604833969,0.5207766940926548,0.5670023666331927,0.5709352873343192,0.5515233089198364,0.5087622233062858,0.5302265292426293,0.5258797241982776,0.5353098520653296
bio_source_HCC_adjancent_normal,0.5587866243475792,0.5573440559001064,0.5188292951759417,0.5136199729839315,0.5727015281864429,0.5866122967378595,0.5702433344059521,0.5342406138743512,0.5806904655278946,0.5348157460299581,0.5527883933170017
bio_source_HCT116,0.4933282514483785,0.5171730193818436,0.5102464663608859,0.5531806666091543,0.5508233394905558,0.5589074278755456,0.5228112003707488,0.533816866636658,0.5180907236895304,0.5297766407932363,0.5288154602656537
bio_source_HEK293,0.4869219807351735,0.51565083955851,0.4829263320865808,0.4859655471753961,0.5426689541488027,0.5221520771224335,0.4896420685855295,0.4733182403971897,0.4977717294160598,0.498832959128873,0.4995850728354549
bio_source_HEK293T,0.4791894084126493,0.5215077981985469,0.4948731148749168,0.5246266325465558,0.5638043648779325,0.5401548718302809,0.5353106981592122,0.5057247067077071,0.5369465402252018,0.5378096328004807,0.5239947768633485
bio_source_HMECs,0.7000308427063382,0.7336306396557064,0.6943064533573204,0.7185661119957956,0.7351754133482638,0.7325863648570997,0.7383902414741068,0.73241450876581,0.7341687133762484,0.7305382723135967,0.7249807561850287
bio_source_HSB2,0.3499791141440894,0.3793763294238262,0.3657791592243621,0.386975339781986,0.3799069558914077,0.3598902428238867,0.3927523033485426,0.3373507300988633,0.3336289144228437,0.3425002869742664,0.3628139376134074
bio_source_HSPCs,0.3413737100232022,0.3656435902342499,0.4154165244490695,0.4448543130383077,0.4195151312792662,0.4119308166518494,0.4008887678209206,0.3779549546050241,0.4177669290517213,0.4282725756501595,0.402361731280377
bio_source_HeLa,0.5419630336989554,0.6020488137138933,0.5520655220745986,0.5991696851303472,0.6276735142174186,0.6131514296022247,0.5975965984129876,0.5759804527855883,0.5719447813518261,0.5597780836674149,0.5841371914655255
bio_source_HeLa S3,0.5456604492923919,0.6081714567071071,0.5592207885129803,0.5945560559086402,0.620670857258153,0.620813500153488,0.594766068592259,0.5522620908501745,0.550449525268311,0.616479154675855,0.586304994721936
bio_source_HepG2,0.3267102780230693,0.355178463749446,0.3084966445760013,0.2994732444477332,0.3000918866248377,0.3260955275519885,0.3101873552802245,0.2907864138745667,0.2851910841899089,0.3122677503707666,0.3114478648688543
