,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,bio_source_108T,0,0.5649038573106007,0.5503021108694641,7.646000623703003
1,bio_source_108T,1,0.6188794871706009,0.4764700852338956,7.760034322738647
2,bio_source_108T,2,0.6231277897240806,0.5104575680455266,7.661269426345825
3,bio_source_108T,3,0.6104577224913506,0.5180475223515655,7.69275426864624
4,bio_source_108T,4,0.6049952374582651,0.5117477473393923,7.65399956703186
5,bio_source_108T,5,0.5708278626770684,0.5248663452786216,7.669503688812256
6,bio_source_108T,6,0.6012303256580347,0.5250584317163661,7.753208637237549
7,bio_source_108T,7,0.6171804049889115,0.4735669365044552,7.666006803512573
8,bio_source_108T,8,0.5670242845400932,0.5045697104632775,7.658167123794556
9,bio_source_108T,9,0.5779125665077209,0.5528434325666689,7.679420471191406
10,bio_source_108T,mean,0.5956539538526726,0.5147929890369234,7.684036493301392
11,bio_source_12T,0,0.3707987308173132,0.4586250395696962,7.684923887252808
12,bio_source_12T,1,0.4421357842016349,0.407349875189487,7.728223085403442
13,bio_source_12T,2,0.4453749646462521,0.4879018067894367,7.671421527862549
14,bio_source_12T,3,0.4718062747228253,0.4064153375467154,7.687964677810669
15,bio_source_12T,4,0.467331797978171,0.4210822740203408,7.653933525085449
16,bio_source_12T,5,0.4462269092318796,0.4381426622084798,7.700868129730225
17,bio_source_12T,6,0.4522468692890257,0.4583560341080805,7.784836530685425
18,bio_source_12T,7,0.4429546329479462,0.4188449137183868,7.6977033615112305
19,bio_source_12T,8,0.4293456279066732,0.3862503021539047,7.682950735092163
20,bio_source_12T,9,0.4428616786920307,0.4386841274223987,7.678471565246582
21,bio_source_12T,mean,0.4411083270433751,0.4321652372726927,7.697129702568054
22,bio_source_A2780,0,0.4700276006173481,0.2538579446209308,7.772680997848511
23,bio_source_A2780,1,0.5038950564095099,0.2356240222415806,7.711961507797241
24,bio_source_A2780,2,0.4684815134757408,0.2669737951342225,7.6745336055755615
25,bio_source_A2780,3,0.5138975571291525,0.2424003941767135,7.688988924026489
26,bio_source_A2780,4,0.5304745508785702,0.2346456238651197,7.689660310745239
27,bio_source_A2780,5,0.5473988532036039,0.2370757365489513,7.768928289413452
28,bio_source_A2780,6,0.4875514807865744,0.2531328872680076,7.685843229293823
29,bio_source_A2780,7,0.4824134611558528,0.2348167867037076,7.678254127502441
30,bio_source_A2780,8,0.481462244906791,0.2375649043156705,7.714747667312622
31,bio_source_A2780,9,0.5143910843398845,0.2491811751635042,7.70524001121521
32,bio_source_A2780,mean,0.4999993402903029,0.2445273270038409,7.709083867073059
33,bio_source_A549,0,0.4731879327137009,0.2228552259234768,7.786013126373291
34,bio_source_A549,1,0.5320752950427705,0.1997030569622872,7.678612232208252
35,bio_source_A549,2,0.5091544753732609,0.2214060804250646,7.681381464004517
36,bio_source_A549,3,0.5233205906587104,0.2117191947775708,7.707860231399536
37,bio_source_A549,4,0.5556571448232737,0.1980797076412803,7.708794116973877
38,bio_source_A549,5,0.5565931299665481,0.1892940322690278,7.7931809425354
39,bio_source_A549,6,0.5196517493367707,0.2159970884904181,7.710538864135742
40,bio_source_A549,7,0.5123889485702593,0.2031948037187849,7.719304323196411
41,bio_source_A549,8,0.5089934631611599,0.2014529179634686,7.694822072982788
42,bio_source_A549,9,0.5434965546948962,0.1896071222019588,7.788983583450317
43,bio_source_A549,mean,0.523451928434135,0.2053309230373338,7.726949095726013
44,bio_source_BJ,0,0.4832984146741909,0.2570028910056021,7.684749603271484
45,bio_source_BJ,1,0.5607656125228389,0.2259599489854833,7.693000316619873
46,bio_source_BJ,2,0.4809440035726027,0.2773203729855729,7.6921350955963135
47,bio_source_BJ,3,0.5345446253828396,0.2262343690685568,7.692186117172241
48,bio_source_BJ,4,0.5763231543265213,0.210683449896261,7.788825511932373
49,bio_source_BJ,5,0.5253766144539449,0.2414942668454405,7.679349899291992
50,bio_source_BJ,6,0.5245674438578081,0.2500899174123538,7.691566228866577
51,bio_source_BJ,7,0.504804757246998,0.2368954540277463,7.709376573562622
52,bio_source_BJ,8,0.4662642119952364,0.244548192778186,7.686685562133789
53,bio_source_BJ,9,0.5338130864105537,0.2293467794276788,7.772801876068115
54,bio_source_BJ,mean,0.5190701924443534,0.2399575642432882,7.709067678451538
55,bio_source_BRx-142,0,0.3789116119360469,0.9147579663201432,7.670164108276367
56,bio_source_BRx-142,1,0.3793112921841491,0.973432596063838,7.823026895523071
57,bio_source_BRx-142,2,0.3862607772035663,0.9712787965235,7.73026180267334
58,bio_source_BRx-142,3,0.3745219704707845,0.8914640357973379,7.712616682052612
59,bio_source_BRx-142,4,0.4163185048946513,0.8925412523587478,7.794741868972778
60,bio_source_BRx-142,5,0.3387712758689123,0.8948752777258857,7.701618909835815
61,bio_source_BRx-142,6,0.4049987561572613,0.8755710533544128,7.722867250442505
62,bio_source_BRx-142,7,0.3640311271610358,0.857083815952004,7.669750928878784
63,bio_source_BRx-142,8,0.3867439834995057,0.90678093789492,7.801910877227783
64,bio_source_BRx-142,9,0.3548200663609353,1.0024180611462854,7.708767652511597
65,bio_source_BRx-142,mean,0.3784689365736848,0.9180203793137076,7.733572697639465
66,bio_source_C643,0,-1.2208690595053209,1.9182843190247771,7.711619853973389
67,bio_source_C643,1,-1.524737272436144,1.9146525255151623,7.713721752166748
68,bio_source_C643,2,-1.1610267823302838,1.898983845823785,7.706969261169434
69,bio_source_C643,3,-1.3623286649507191,1.9667304987263157,7.825053930282593
70,bio_source_C643,4,-1.2812201766099358,1.927789071483692,7.72365403175354
