bio_source,0,1,2,3,4,5,6,7,8,9,mean
bio_source_108T,0.5652764251205941,0.629027972583063,0.6253053961396977,0.6018078128940902,0.6087419743245621,0.5752909660329104,0.5894553661326811,0.6200246352441448,0.5521631866169407,0.5752508285610443,0.5942344563649729
bio_source_12T,0.3707293956252637,0.4541670816807917,0.4495795398137467,0.476414370535882,0.4809151080759691,0.4493656726604644,0.460556253974916,0.4407896255065935,0.425132600375501,0.4620251091401569,0.4469674757389285
bio_source_A2780,0.46841128630483,0.5122115492961679,0.4667900950357423,0.5050484524675769,0.5311565828855929,0.5429224612534989,0.4849439779302777,0.4538495243946141,0.4811869854937396,0.510908751364187,0.4957429666426227
bio_source_A549,0.4686440567928365,0.5313705076857327,0.4962448355241612,0.5112743222246086,0.5556744818102455,0.5538640515638781,0.5172776686702935,0.5150529576373927,0.5184594234790683,0.5522709177420712,0.5220133223130288
bio_source_BJ,0.4843278139958751,0.558432593911915,0.4817225637297637,0.5334498373152952,0.5710212985794723,0.5216753802462988,0.5204697607155104,0.5089050971607998,0.4657391706808784,0.5434475745247382,0.5189191090860547
bio_source_BRx-142,0.3836190728971873,0.3834726617372519,0.3956425848758121,0.3949585297750277,0.3966370431874708,0.348216692155839,0.4023157813983828,0.368305344746869,0.3738499120709635,0.3492676052192034,0.3796285228064008
bio_source_C643,-1.2158573312251586,-1.4667302004762988,-1.164432940715117,-1.3191199499320936,-1.2338665257323482,-1.4358242755663595,-1.4533413323643911,-1.2008742629156297,-1.1943878536116537,-1.1992639666825604,-1.288369863922161
bio_source_CRL-1634,0.589187546356353,0.6602900761867025,0.6291884023176519,0.658112088460771,0.6445796683429901,0.6295966916460706,0.6492369038117358,0.6389848014469834,0.6245692317027463,0.6310215369494698,0.6354766947221474
bio_source_Calu-3,0.5372728886993197,0.6020354890557241,0.5870288907687353,0.5745441858319837,0.5925745436930041,0.5681717903418498,0.5764041922426573,0.5854682761304639,0.5516398045455744,0.558746797653817,0.5733886858963129
bio_source_Cybrid Cells,0.4435008122689127,0.5155185134608713,0.4907431274747755,0.5236583874636443,0.5097308373661937,0.4847121486198538,0.5036928666667985,0.4579313194374109,0.4784884649385682,0.4851308705814291,0.4893107348278458
bio_source_H1-hESC,0.5615613182409124,0.5812593597423132,0.5629147723747019,0.5783469740370349,0.5859840373407106,0.5834523714716874,0.5840745647732819,0.5558062962887063,0.56075851911246,0.5713225123068348,0.5725480725688643
bio_source_H1933,0.476557961920684,0.5444641969342097,0.4653644865639929,0.5428849985774098,0.5517793420535322,0.5076312184568971,0.4840139719131336,0.4736040401014066,0.4412596055045878,0.4959258630773625,0.4983485685103215
bio_source_H9-hESC,0.5533215704940444,0.5972178117272812,0.528004982170492,0.5831809301919906,0.5931542514341344,0.5742737810853463,0.5689615540244817,0.5597064187857599,0.533172918732717,0.5848551285453445,0.5675849347191592
bio_source_HAP-1,0.5124664409282464,0.5176348603311579,0.4746263194456713,0.5070447195642505,0.5584346022647927,0.5029255987186215,0.5310672073708197,0.5039672034790277,0.4945776119329479,0.5048858284048757,0.5107630392440412
bio_source_HCC tumor,0.5306247268010238,0.5553679960856037,0.4903450232347224,0.5107758031051004,0.5724311652310048,0.557700181748416,0.534679688919288,0.5048390257014315,0.5322648119968412,0.5113643383792834,0.5300392761202715
bio_source_HCC_adjancent_normal,0.554637766843601,0.5616458806653224,0.5210358502453228,0.5121899945270514,0.5701840290765696,0.5833210935354625,0.5692476870777097,0.532846619953451,0.5740033455964126,0.5187764846860883,0.5497888752206992
bio_source_HCT116,0.4881068247872145,0.5119544681790028,0.5100929148965375,0.5484726340816809,0.5500969025941196,0.5566352296572177,0.5208271856027311,0.5198095695438161,0.5137044905767862,0.534627783635249,0.5254328003554355
bio_source_HEK293,0.4889099545391019,0.5073421137411471,0.4722162175807618,0.4972882780754563,0.5335912456906472,0.5053694102489779,0.4864734236223323,0.4857966278730501,0.4970564870111635,0.5023282360937942,0.4976371994476432
bio_source_HEK293T,0.4792788664478445,0.5222271554019781,0.5003201578533332,0.5217284740919707,0.551067770975505,0.5412972639283697,0.5289745302644654,0.5018368354834862,0.5356629079741343,0.5342088095781682,0.5216602771999256
bio_source_HMECs,0.6935557500737161,0.7247350402933133,0.6883780295197381,0.7176832932464416,0.739061495527418,0.7382838843027134,0.7324224183739614,0.7284936674151281,0.733737760589426,0.7312512832447418,0.7227602622586596
bio_source_HSB2,0.34898206552654,0.3791116684389941,0.3584278642013939,0.3761306314915698,0.3871579635142514,0.3527014635746408,0.392340345424182,0.3345026506916501,0.3445950299005385,0.3270455961766704,0.3600995278940431
bio_source_HSPCs,0.3260681619929042,0.3801657470862075,0.4177431549933559,0.4350218488089938,0.433654556262415,0.3969795227288981,0.3890329407096213,0.3698295891029939,0.4040587032966172,0.4392807180282687,0.3991834943010277
bio_source_HeLa,0.5292920863504131,0.6089851828938226,0.5401757544321109,0.6032252936270778,0.6305001438168842,0.6005758150458789,0.5918383554145243,0.5755684346456181,0.5770290133426159,0.5631782582575766,0.5820368337826521
bio_source_HeLa S3,0.5437910200629343,0.6086426250697973,0.5589046507095197,0.5909088705921987,0.6119844278414373,0.6171478772665946,0.5915506089735827,0.5410861461167911,0.5483632294414993,0.6050313949091656,0.5817410850983519
bio_source_HepG2,0.3413305328674669,0.3627651712508629,0.3203889472338888,0.2927365349376218,0.2962854088881212,0.3281705088333585,0.3131657528949157,0.3054477773801316,0.2827554460988328,0.3068267067155495,0.314987278710075
