,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,bio_source_A549,0,0.47318018100787984,0.22285850509694172,16.159024238586426
1,bio_source_A549,1,0.5393204109168961,0.19661095309860868,15.971067905426025
2,bio_source_A549,2,0.49813625775982695,0.22637607659018394,16.103033542633057
3,bio_source_A549,3,0.523170994213199,0.21178563867752662,15.67414116859436
4,bio_source_A549,4,0.547381165101515,0.201768984119191,15.763514518737793
5,bio_source_A549,5,0.5560064438221218,0.18954449339956111,15.811387062072754
6,bio_source_A549,6,0.5193607865386891,0.2161279250598402,15.944673776626587
7,bio_source_A549,7,0.5185271361982696,0.20063692930924168,15.853868246078491
8,bio_source_A549,8,0.5044435952884121,0.20331966329279635,15.987253427505493
9,bio_source_A549,9,0.540020357327927,0.19105094871791534,15.817589282989502
10,bio_source_A549,mean,0.5219547328174737,0.20600801173618066,15.90855531692505
