,model1,model2,feature,p_value,model1_r2,model2_r2
0,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct,Struct,0.32479545045682146,0.5893139068487903,0.5904828465102223
1,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct_Biochem,Biochem,2.042145555325265e-11,0.5904828465102223,0.7518142156058791
