model,on_NA_lgbm-3mer_freq_5,on_NA_lgbm-AAF,on_NA_lgbm-ALL_FEATURES,on_NA_lgbm-Biochem,on_NA_lgbm-CF,on_NA_lgbm-CF_AAF_3mer_freq_5,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct_Biochem
on_NA_lgbm-3mer_freq_5,,8.339348858980244e-11,1.8525314953196783e-13,2.42797850900583e-15,2.629398210046173e-10,1.48377742149978e-13,7.877285939939821e-13,1.424273980961004e-12,1.4187318988099072e-15
on_NA_lgbm-AAF,0.9999999999166065,,4.530927833675554e-10,6.372223470864696e-11,0.0724775067416831,1.493326942704624e-08,2.046433405780871e-09,6.003403409516707e-10,4.654297082268557e-13
on_NA_lgbm-ALL_FEATURES,0.9999999999998148,0.9999999995469072,,3.5010038454658836e-07,0.9999999995748258,0.999497008480706,0.7094602226073463,0.542557455630382,2.9078197735372837e-12
on_NA_lgbm-Biochem,0.9999999999999976,0.9999999999362778,0.9999996498996154,,0.9999999977204442,0.9999998223986827,0.9999961609163748,0.999990973467467,5.447745379720531e-11
on_NA_lgbm-CF,0.9999999997370602,0.9275224932583169,4.2517417172276674e-10,2.2795556977526473e-09,,1.356131805270306e-08,5.643564560705844e-11,1.405101148964575e-10,3.766127104841527e-12
on_NA_lgbm-CF_AAF_3mer_freq_5,0.9999999999998516,0.9999999850667306,0.000502991519293943,1.7760131729937804e-07,0.9999999864386819,,0.00011337935087975652,0.00010916034976848335,1.9690846410136094e-12
on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5,0.9999999999992123,0.9999999979535665,0.2905397773926536,3.83908362528511e-06,0.9999999999435644,0.9998866206491203,,0.32479545045682146,1.2671939548857011e-11
on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct,0.9999999999985757,0.9999999993996597,0.45744254436961795,9.026532533052304e-06,0.99999999985949,0.9998908396502315,0.6752045495431785,,2.042145555325265e-11
on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct_Biochem,0.9999999999999986,0.9999999999995346,0.9999999999970922,0.9999999999455226,0.9999999999962339,0.9999999999980309,0.999999999987328,0.9999999999795786,
