cell_lines(max_min),percentile_in_max-ing_cell_line,percentile_in_min-ing_cell_line
HEK293T_MCF7,0.7,0.2
MCF7_HEK293T,0.901,0.215
HEK293T_Huh-7.5,0.973,0.24
Huh-7.5_HEK293T,0.873,0.008
HEK293T_A549,0.882,0.305
A549_HEK293T,0.659,0.045
A549_Huh-7.5,0.898,0.063
Huh-7.5_A549,0.883,0.035
A549_MCF7,0.859,0.012
MCF7_A549,0.971,0.517
Huh-7.5_MCF7,0.966,0.045
MCF7_Huh-7.5,0.92,0.03
