,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,bio_source_Huh-7.5,0,0.45195361527766775,0.24544930391471168,15.0706787109375
1,bio_source_Huh-7.5,1,0.5228291807882646,0.2125506302644905,15.095156192779541
2,bio_source_Huh-7.5,2,0.44161954682127735,0.26402728730545344,15.096276760101318
3,bio_source_Huh-7.5,3,0.45788446527725657,0.23656093481882778,14.944832801818848
4,bio_source_Huh-7.5,4,0.49352086435917897,0.22423568869581673,14.922075748443604
5,bio_source_Huh-7.5,5,0.47881796931137743,0.2350186110528597,14.935484170913696
6,bio_source_Huh-7.5,6,0.4588264973270415,0.24551924952999868,15.157423734664917
7,bio_source_Huh-7.5,7,0.4741301604529068,0.22174552776152354,15.11909794807434
8,bio_source_Huh-7.5,8,0.4902500439407106,0.22936464249815225,15.128838300704956
9,bio_source_Huh-7.5,9,0.44831124383301224,0.24519714365605733,15.051615238189697
10,bio_source_Huh-7.5,mean,0.47181435873886934,0.23596690194978914,15.052147960662841
